iter	Passed	Remaining
586	1594	1121
587	1596	1118
588	1598	1115
589	1600	1112
590	1602	1108
591	1604	1105
592	1606	1102
593	1630	1114
594	1634	1112
595	1636	1109
596	1642	1108
597	1644	1105
598	1646	1102
599	1651	1100
600	1653	1097
601	1658	1096
602	1677	1104
603	1679	1101
604	1681	1098
605	1683	1094
606	1685	1091
607	1688	1088
608	1690	1085
609	1692	1082
610	1694	1079
611	1696	1075
612	1698	1072
613	1700	1069
614	1706	1068
615	1709	1065
616	1711	1062
617	1713	1059
618	1717	1056
619	1721	1055
620	1723	1051
621	1725	1048
622	1726	1044
623	1728	1041
624	1729	1037
625	1731	1034
626	1732	1030
627	1737	1029
628	1739	1025
629	1740	1022
630	1742	1019
631	1744	1015
632	1745	1012
633	1747	1008
634	1748	1005
635	1753	1003
636	1756	1000
637	1760	999
638	1762	995
639	1764	992
640	1769	991
641	1771	987
642	1773	984
643	1775	981
644	1776	977
645	1778	974
646	1782	972
647	1784	969
648	1788	967
649	1791	964
650	1792	961
651	1794	957
652	1800	956
653	1802	953
654	1804	950
655	1806	947
656	1807	943
657	1809	940
658	1814	938
659	1817	936
660	1819	933
661	1821	929
662	1823	926
663	1831	927
664	1834	924
665	1836	921
666	1838	917
667	1839	914
668	1842	911
669	1844	908
670	1846	905
671	1848	902
672	1852	899
673	1854	896
674	1856	893
675	1861	892
676	1863	889
677	1865	886
678	1869	883
679	1875	882
680	1878	879
681	1880	876
682	1882	873
683	1884	870
684	1886	867
685	1893	866
686	1895	863
687	1897	860
688	1901	858
689	1905	856
690	1908	853
691	1910	850
692	1912	847
693	1914	844
694	1917	841
695	1923	840
696	1928	838
697	1930	835
698	1932	832
699	1934	829
700	1939	827
701	1941	824
702	1949	823
703	1956	822
704	1958	819
705	1960	816
706	1963	813
707	1970	812
708	1973	809
709	1976	807
710	1978	804
711	1980	800
712	1982	797
713	1984	795
714	1987	792
715	1990	789
716	1992	786
717	1998	784
718	2001	782
719	2004	779
720	2006	776
721	2012	774
722	2014	771
723	2019	769
724	2021	766
725	2023	763
726	2029	762
727	2031	759
728	2032	755
729	2034	752
730	2036	749
731	2038	746
732	2039	742
733	2043	740
734	2045	737
735	2047	734
736	2050	731
737	2053	728
738	2055	726
739	2058	723
740	2060	720
741	2063	717
742	2065	714
743	2067	711
744	2073	709
745	2075	706
746	2077	703
747	2079	700
748	2082	697
749	2085	695
750	2091	693
751	2093	690
752	2095	687
753	2097	684
754	2103	682
755	2105	679
756	2107	676
757	2114	675
758	2118	672
759	2120	669
760	2122	666
761	2124	663
762	2126	660
763	2128	657
764	2134	655
765	2136	652
766	2138	649
767	2139	646
768	2141	643
769	2143	640
770	2145	637
771	2147	634
772	2161	634
773	2167	632
774	2168	629
775	2170	626
776	2172	623
777	2174	620
778	2176	617
779	2178	614
780	2183	612
781	2185	609
782	2187	606
783	2189	603
784	2191	600
785	2193	597
786	2195	594
787	2198	591
788	2211	591
789	2213	588
790	2214	585
791	2216	582
792	2218	579
793	2220	576
794	2225	573
795	2228	571
796	2230	568
797	2232	565
798	2234	562
799	2236	559
800	2239	556
801	2241	553
802	2242	550
803	2244	547
804	2245	544
805	2247	540
806	2249	537
807	2250	534
808	2252	531
809	2257	529
810	2258	526
811	2260	523
812	2263	520
813	2265	517
814	2267	514
815	2269	511
816	2272	508
817	2273	505
818	2275	502
819	2276	499
820	2278	496
821	2279	493
822	2281	490
823	2282	487
824	2287	485
825	2288	482
826	2290	479
827	2291	475
828	2292	472
829	2294	469
830	2295	466
831	2297	463
832	2298	460
833	2302	458
834	2303	455
835	2304	452
836	2305	449
837	2306	445
838	2308	442
839	2309	439
840	2310	436
841	2312	433
842	2313	430
843	2317	428
844	2318	425
845	2320	422
846	2321	419
847	2322	416
848	2324	413
849	2325	410
850	2327	407
851	2328	404
852	2330	401
853	2332	398
854	2334	395
855	2335	392
856	2336	389
857	2338	386
858	2340	384
859	2341	381
860	2343	378
861	2344	375
862	2348	372
863	2350	369
864	2351	367
865	2353	364
866	2355	361
867	2357	358
868	2358	355
869	2359	352
870	2362	349
871	2363	346
872	2365	344
873	2366	341
874	2367	338
875	2369	335
876	2370	332
877	2371	329
878	2373	326
879	2374	323
880	2379	321
881	2380	318
882	2382	315
883	2383	312
884	2385	309
885	2386	307
886	2387	304
887	2388	301
888	2390	298
889	2392	295
890	2394	292
891	2396	290
892	2397	287
893	2398	284
894	2400	281
895	2401	278
896	2402	275
897	2404	273
898	2405	270
899	2411	267
900	2412	265
901	2414	262
902	2416	259
903	2417	256
904	2419	253
905	2421	251
906	2423	248
907	2425	245
908	2427	242
909	2428	240
910	2430	237
911	2431	234
912	2432	231
913	2434	229
914	2443	226
915	2445	224
916	2446	221
917	2448	218
918	2449	215
919	2451	213
920	2455	210
921	2457	207
922	2458	205
923	2460	202
924	2462	199
925	2463	196
926	2469	194
927	2471	191
928	2472	188
929	2473	186
930	2474	183
931	2475	180
932	2476	177
933	2478	175
934	2479	172
935	2481	169
936	2483	166
937	2487	164
938	2488	161
939	2489	158
940	2491	156
941	2492	153
942	2494	150
943	2495	148
944	2497	145
945	2498	142
946	2500	139
947	2501	137
948	2503	134
949	2505	131
950	2506	129
951	2508	126
952	2511	123
953	2512	121
954	2514	118
955	2515	115
956	2517	113
957	2518	110
958	2519	107
959	2521	105
960	2527	102
961	2529	99
962	2530	97
963	2532	94
964	2533	91
965	2534	89
966	2536	86
967	2537	83
968	2539	81
969	2542	78
970	2543	75
971	2544	73
972	2546	70
973	2548	68
974	2550	65
975	2551	62
976	2556	60
977	2558	57
978	2560	54
979	2561	52
980	2562	49
981	2564	47
982	2565	44
983	2566	41
984	2568	39
985	2571	36
986	2574	33
987	2575	31
988	2577	28
989	2578	26
990	2579	23
991	2581	20
992	2587	18
993	2589	15
994	2590	13
995	2592	10
996	2593	7
997	2595	5
998	2596	2
999	2597	0
